HDR,Global,Mean,Sea,Level,Data
0,1067,2021.6798050,440618,328039.31,56.57
0,1068,2021.7069710,449777,334301.91,59.52
0,1069,2021.7341370,451041,333743.50,58.00
0,1070,2021.7613030,450665,333107.19,58.81
0,1071,2021.7884690,449838,332384.31,59.09
0,1072,2021.8156360,450468,332258.41,60.11
0,1073,2021.8428020,456093,335562.19,57.18
0,1074,2021.8699680,458073,336028.69,53.70
0,1075,2021.8971340,463488,337532.81,55.36
0,1076,2021.9243000,465513,338073.59,57.39
0,1077,2021.9514660,466618,337911.09,52.95
0,1078,2021.9786330,470166,338049.81,51.37
0,1079,2022.0057990,467145,337701.09,53.03
0,1080,2022.0329650,466005,336049.00,54.49
0,1081,2022.0601310,464492,334644.91,54.44
0,1082,2022.0872970,466325,336605.59,52.60
0,1083,2022.1144630,464907,336385.59,53.33
0,1084,2022.1416290,463681,335856.00,49.21
0,1085,2022.1687960,468902,339470.59,46.58
0,1086,2022.1959620,463558,335227.81,49.50
0,1087,2022.2231280,466900,336956.31,48.78
0,1088,2022.2502940,465949,335330.50,50.13
0,1089,2022.2774600,468092,336573.31,51.59
0,1090,2022.3046260,450777,327793.59,48.78
0,1091,2022.3317930,470193,339424.50,51.09
0,1092,2022.3589590,461048,335040.31,46.41
0,1093,2022.3861250,468314,337693.81,45.57
0,1094,2022.4132910,466900,336987.00,45.17
0,1095,2022.4404570,469488,339027.91,47.68
0,1096,2022.4676230,467235,337908.09,46.34
0,1097,2022.4947890,460714,335266.41,51.75
0,1098,2022.5219560,458066,334847.31,53.71
0,1099,2022.5491220,457650,334608.41,54.12
0,1100,2022.5762880,457918,336700.59,52.20
0,1101,2022.6034540,434630,323021.69,52.63
0,1102,2022.6306200,455598,336674.59,56.93
0,1103,2022.6577860,452652,335243.59,58.18
0,1104,2022.6849530,449301,333409.19,60.63
0,1105,2022.7121190,448622,333287.50,59.18
0,1106,2022.7392850,448870,332384.50,60.44
0,1107,2022.7664510,449170,332021.31,60.51
0,1108,2022.7936170,450374,333314.50,59.95
0,1109,2022.8207830,454968,336158.69,58.80
0,1110,2022.8479490,452635,332538.59,60.06
0,1111,2022.8751160,454983,333817.09,54.94
0,1112,2022.9022820,455064,333127.09,54.75
0,1113,2022.9294480,464763,337631.81,54.08
0,1114,2022.9566140,461315,335086.81,59.69
0,1115,2022.9837800,469379,339595.31,58.27
0,1116,2023.0109460,469829,338864.41,54.42
0,1117,2023.0381130,466378,335939.50,55.50
0,1118,2023.0652790,467696,337821.00,55.45
0,1119,2023.0924450,467284,338524.69,53.94
0,1120,2023.1196110,469320,339213.81,54.41
0,1121,2023.1467770,470817,339534.81,53.45
0,1122,2023.1739430,470137,338340.81,53.27
0,1123,2023.2011090,468764,336289.69,54.50
0,1124,2023.2282760,466985,335593.09,53.67
0,1125,2023.2554420,468273,335829.69,51.37
0,1126,2023.2826080,467862,336098.69,49.50
0,1127,2023.3097740,456396,328882.81,51.33
0,1128,2023.3369400,464132,336058.50,51.43
0,1129,2023.3641060,448206,324019.50,54.28
0,1130,2023.3912720,465082,336303.81,53.40
0,1131,2023.4184390,461816,334760.31,55.57
0,1132,2023.4456050,465020,337098.50,54.53
0,1133,2023.4727710,466150,338434.00,56.20
0,1134,2023.4999370,456272,333912.09,59.22
0,1135,2023.5271030,463380,337323.59,61.07
0,1136,2023.5542690,459734,336554.50,61.01
0,1137,2023.5814360,454331,333943.91,65.35
0,1138,2023.6086020,455370,335585.00,68.37
0,1139,2023.6357680,450104,333165.41,66.58
0,1140,2023.6629340,450716,334524.91,68.48
0,1141,2023.6901000,447590,332007.00,66.55
0,1142,2023.7172660,451156,332933.81,69.79
0,1143,2023.7444320,454880,336108.69,72.21
0,1144,2023.7715990,452869,334311.81,74.69
0,1145,2023.7987650,447945,330121.00,76.42
0,1146,2023.8259310,455292,333813.81,69.74
0,1147,2023.8530970,457583,334792.31,70.69
0,1148,2023.8802630,456137,334493.69,68.77
0,1149,2023.9074290,464258,337308.41,67.77
0,1150,2023.9345960,467062,337927.59,68.19
0,1151,2023.9617620,469570,338846.00,66.58
0,1152,2023.9889280,469978,337928.81,65.46
0,1153,2024.0160500,465197,335309.91,65.73
0,1154,2024.0431420,474334,341282.91,64.19
0,1155,2024.0702340,450449,328652.81,63.64
0,1156,2024.0973260,469831,339441.00,62.79
0,1157,2024.1244180,468406,337959.19,63.72
